bar_type,seed,agent_id,uncorrected_regret,corrected_regret
passive,20,4,0.04479137467143584,0.04479137467143584
passive,20,5,0.0692617005208615,0.0692617005208615
passive,20,6,0.09249399291017091,0.09249399291017091
passive,20,7,0.06166619949820385,0.06166619949820385
passive,20,8,0.034674726958371996,0.034674726958371996
passive,20,9,0.06631006942018657,0.06631006942018657
passive,21,0,0.02352896178120151,0.02352896178120151
passive,21,1,0.046580675322883236,0.046580675322883236
passive,21,2,0.04479137467143584,0.04479137467143584
passive,21,3,0.11985615379370622,0.11985615379370622
passive,21,4,0.09483456075294942,0.09483456075294942
passive,21,5,0.05956817906987059,0.05956817906987059
passive,21,6,0.06633840656856851,0.06633840656856851
passive,21,7,0.056825463965205276,0.056825463965205276
passive,21,8,0.09608464459805945,0.09608464459805945
passive,21,9,0.0735721478627151,0.0735721478627151
passive,22,0,0.03000251988800733,0.03000251988800733
passive,22,1,0.04118867259855353,0.04118867259855353
passive,22,2,0.07645505428163236,0.07645505428163236
passive,22,3,0.05485558446613021,0.05485558446613021
passive,22,4,0.08751306606292035,0.08751306606292035
passive,22,5,0.09415515263236009,0.09415515263236009
passive,22,6,0.04795890009725146,0.04795890009725146
passive,22,7,0.09424290602824259,0.09424290602824259
passive,22,8,0.12811008393676707,0.12811008393676707
passive,22,9,0.13117044743351064,0.13117044743351064
passive,23,0,0.0856182875414783,0.0856182875414783
passive,23,1,0.0582036887395735,0.0582036887395735
passive,23,2,0.10645757416963969,0.10645757416963969
passive,23,3,0.06166619949820385,0.06166619949820385
passive,23,4,0.05970837038412255,0.05970837038412255
passive,23,5,0.08944255802861972,0.08944255802861972
passive,23,6,0.13602323335150296,0.13602323335150296
passive,23,7,0.03706773271951999,0.03706773271951999
passive,23,8,0.02516178435500875,0.02516178435500875
passive,23,9,0.08488644150251949,0.08488644150251949
passive,24,0,0.02516178435500875,0.02516178435500875
passive,24,1,0.04370981928895972,0.04370981928895972
passive,24,2,0.04010711721607741,0.04010711721607741
passive,24,3,0.03647607799481315,0.03647607799481315
passive,24,4,0.13182887655391382,0.13182887655391382
passive,24,5,0.07811621400382156,0.07811621400382156
passive,24,6,0.06270736734730425,0.06270736734730425
passive,24,7,0.028032640388932262,0.028032640388932262
