attendance,price,profit,welfare,distress_pct,trailing_mean_attendance,convergence_round_attendance,agent_type,bar_type,rounds,seed
4.6,9.83186612244898,42.84561959183674,36.66085468164393,0.0,3.5,,heuristic,regression,10,16
4.5,9.891288888888889,42.28386666666667,36.86111487275266,0.0,3.0,,heuristic,regression,10,17
4.7,9.67984,42.900720000000014,39.22251414530926,0.0,4.5,,heuristic,regression,10,18
4.8,9.852390458715599,44.83589431192661,41.59415820542098,0.0,4.5,,heuristic,regression,10,19
4.8,9.914618947368425,45.194812631578955,40.4161914975591,0.0,3.5,,heuristic,regression,10,20
4.8,9.85728,44.87129696969697,39.08985206335952,0.0,4.5,,heuristic,regression,10,21
4.4,9.872,41.16,33.47226118635673,0.0,4.5,,heuristic,regression,10,22
4.3,9.856979200000001,40.3191456,34.277893703386795,0.0,2.5,,heuristic,regression,10,23
4.8,9.921600000000002,45.10880000000001,37.15024400531566,0.0,3.0,,heuristic,regression,10,24
4.1,9.820108571428571,38.18232571428571,31.540843315054026,0.0,3.0,,heuristic,regression,10,25
4.6,9.726361729106632,42.26695792507206,35.936476317346845,0.0,4.5,,heuristic,regression,10,26
4.3,9.824320000000002,40.05096,34.35037443854621,0.0,3.0,,heuristic,regression,10,27
5.1,9.889815626168225,47.88729076635515,42.53177371110281,0.0,5.5,,heuristic,regression,10,28
4.4,9.872097565872021,41.24819513174404,29.69643479533131,0.0,2.0,,heuristic,regression,10,29
4.7,9.904131958762886,44.13426391752578,37.941731579013855,0.0,2.0,,heuristic,regression,10,30
4.3,9.677448421052633,39.228618947368425,33.62940733026797,0.0,3.5,,heuristic,regression,10,31
4.9,9.76258285714286,45.251988571428576,42.042384387431085,0.0,5.0,,heuristic,regression,10,32
5.2,9.851766349206352,48.69438476190477,44.14762748234515,0.0,4.5,,heuristic,regression,10,33
3.7,9.712195555555557,33.98985777777778,24.74040310418891,0.0,3.0,,heuristic,regression,10,34
5.2,9.918400000000002,49.021600000000014,46.50844352406936,0.0,4.0,,heuristic,regression,10,35
5.0,9.902862222222224,47.111431111111116,41.41057709401238,0.0,3.5,,heuristic,regression,10,36
4.2,9.807832972181552,39.17949891654466,31.23071518908825,0.0,3.0,,heuristic,regression,10,37
5.2,9.918374736842106,49.042989473684216,44.373937436471465,0.0,5.5,,heuristic,regression,10,38
4.7,9.710138181818184,43.16525818181819,39.192179022035155,0.0,4.0,,heuristic,regression,10,39
4.6,9.83792,42.883680000000005,36.579111629153076,0.0,4.0,,heuristic,regression,10,40
5.0,9.904191999999998,47.018688000000004,43.28258704289725,0.0,4.5,,heuristic,regression,10,41
4.2,9.643220000000003,38.24940000000001,30.492710663955414,0.0,4.5,,heuristic,regression,10,42
5.2,9.88517152542373,48.91785762711865,43.46880598595222,0.0,5.0,,heuristic,regression,10,43
4.9,9.870284536082476,45.87790927835052,40.813009750352435,0.0,3.0,,heuristic,regression,10,44
5.0,9.876500229885057,46.83734804597701,40.3864396051174,0.0,4.5,,heuristic,regression,10,45
4.3,9.506047179487183,38.98379282051284,26.52793163576307,0.0,3.5,,heuristic,regression,10,46
4.5,9.830733493975904,41.978200481927715,33.82147733463554,0.0,3.0,,heuristic,regression,10,47
5.0,9.904,46.97200000000001,43.91488323607385,0.0,4.0,,heuristic,regression,10,48
4.7,9.807733333333335,43.731866666666676,37.52540622133394,0.0,2.5,,heuristic,regression,10,49
5.1,9.878656000000001,47.88196800000001,42.25893845376016,0.0,3.0,,heuristic,regression,10,50
5.2,9.917600000000002,49.072,43.6122960862895,0.0,5.0,,heuristic,regression,10,51
5.3,9.939776,50.12110400000001,46.45167343329789,0.0,4.0,,heuristic,regression,10,52
4.7,9.707825454545455,43.087556363636374,39.44882409943558,0.0,4.5,,heuristic,regression,10,53
5.0,9.911088695652175,47.084354782608685,42.866261685217346,0.0,4.0,,heuristic,regression,10,54
4.9,9.809600000000001,45.5604,41.769549130088436,0.0,4.0,,heuristic,regression,10,55
4.8,9.950697142857141,45.35209142857143,39.92738540471977,0.0,3.0,,heuristic,regression,10,56
5.1,9.931999999999999,48.09400000000001,44.24995444102078,0.0,3.5,,heuristic,regression,10,57
4.8,9.768553846153846,44.487446153846165,40.27270139722184,0.0,5.0,,heuristic,regression,10,58
5.2,9.792864000000003,48.285952000000016,44.336674450586585,0.0,5.0,,heuristic,regression,10,59
4.5,9.736514157303374,41.415777977528094,37.4091039943319,0.0,5.0,,heuristic,regression,10,60
4.6,9.778785573770493,42.53949114754098,36.66085468164393,0.0,3.5,,heuristic,regression,10,61
4.6,9.801067755102041,42.70636081632652,38.06513134363214,0.0,5.0,,heuristic,regression,10,62
5.0,9.838315789473686,46.711368421052626,41.29742211694922,0.0,4.5,,heuristic,regression,10,63
4.6,9.73850224852071,42.34894958579881,39.12994307443086,0.0,5.5,,heuristic,regression,10,64
4.9,9.807645217391306,45.59365913043479,41.512904052688015,0.0,5.0,,heuristic,regression,10,65
4.6,9.788096,42.602368,38.6004627396878,0.0,4.5,,heuristic,regression,10,66
5.3,9.87792,49.773520000000005,46.45167343329789,0.0,6.0,,heuristic,regression,10,67
5.3,9.90736,49.991440000000004,45.87078516933806,0.0,4.0,,heuristic,regression,10,68
4.8,9.837995102040818,44.75998040816328,37.655240278097224,0.0,4.0,,heuristic,regression,10,69
5.2,9.82368,48.50208,45.09831580076856,0.0,6.0,,heuristic,regression,10,70
5.3,9.920978020477817,50.065688191126284,42.99667897281302,0.0,3.5,,heuristic,regression,10,71
5.1,9.898240000000001,47.97280000000001,44.87639957288478,0.0,4.5,,heuristic,regression,10,72
4.6,9.91447804878049,43.3228487804878,35.59116032484478,0.0,2.5,,heuristic,regression,10,73
5.5,9.889440000000002,51.71864000000001,46.13386453888347,0.0,6.0,,heuristic,regression,10,74
5.0,9.743332173913045,46.10692869565217,42.104620335035364,0.0,5.0,,heuristic,regression,10,75
4.9,9.876000000000001,45.82200000000001,38.41821776494946,0.0,4.0,,heuristic,regression,10,76
5.5,9.90128,51.816880000000005,49.18872382163066,0.0,5.5,,heuristic,regression,10,77
3.8,9.755687032967034,35.0750610989011,28.14776557742102,0.0,3.0,,heuristic,regression,10,78
5.3,9.843717333333334,49.54058666666667,47.356804883817134,0.0,5.0,,heuristic,regression,10,79
5.1,9.810337627118644,47.437357288135594,44.779434775763846,0.0,5.0,,heuristic,regression,10,80
4.0,9.738182641509434,36.87054792452831,29.12852501303855,0.0,3.0,,heuristic,regression,10,81
5.4,9.921653333333335,50.94805333333335,48.09201126650175,0.0,5.5,,heuristic,regression,10,82
5.3,9.859232,49.669392,47.35680488381713,0.0,6.0,,heuristic,regression,10,83
5.6,9.93675076923077,52.94151384615385,47.924620335035364,0.0,5.0,,heuristic,regression,10,84
4.7,9.823988965517241,43.77467310344828,38.919343764692506,0.0,4.5,,heuristic,regression,10,85
5.1,9.868766753246756,47.746085194805204,45.03607985316428,0.0,4.5,,heuristic,regression,10,86
4.6,9.777504000000002,42.548896000000006,38.74395284002506,0.0,5.0,,heuristic,regression,10,87
4.7,9.87111652173913,44.12486608695653,36.558527722968314,0.0,3.5,,heuristic,regression,10,88
5.1,9.856576,47.717040000000004,45.41173096894045,0.0,5.5,,heuristic,regression,10,89
4.5,9.870581847389559,42.20715148594378,35.955983422233416,0.0,3.5,,heuristic,regression,10,90
4.5,9.637472,40.83166400000001,36.85526381144007,0.0,6.0,,heuristic,regression,10,91
5.0,9.848954482758622,46.70143448275862,43.26639686295503,0.0,4.5,,heuristic,regression,10,92
4.6,9.873453913043479,43.18150956521739,38.64930664979808,0.0,3.5,,heuristic,regression,10,93
4.5,9.71829130801688,41.31448337552744,37.50375018455888,0.0,4.5,,heuristic,regression,10,94
4.8,9.840458556701034,44.905177731958766,37.0067539049784,0.0,3.5,,heuristic,regression,10,95
4.7,9.572,42.898,38.12736729123643,0.0,4.0,,heuristic,regression,10,96
4.8,9.852496623376627,44.957986493506496,38.0250403325608,0.0,4.0,,heuristic,regression,10,97
5.1,9.915584615384617,48.104753846153855,39.91431259197819,0.0,3.0,,heuristic,regression,10,98
4.7,9.84712,43.82269000000001,37.70615930755609,0.0,2.5,,heuristic,regression,10,99
4.9,2.8,10.929999999999998,38.503601637844994,0.0,3.5,,heuristic,q_learning,10,0
5.0,2.8,10.7,43.12290676261777,0.0,4.0,,heuristic,q_learning,10,1
4.0,2.0,5.8,30.057621743023173,0.0,2.0,,heuristic,q_learning,10,2
4.2,2.6,7.94,33.47837625374929,0.0,3.0,,heuristic,q_learning,10,3
5.2,3.8,16.240000000000002,41.75647631734685,0.0,5.0,,heuristic,q_learning,10,4
5.3,7.2,33.21,47.243649906753966,0.0,4.5,,heuristic,q_learning,10,5
4.8,3.0,10.96,39.04332676014319,0.0,4.5,,heuristic,q_learning,10,6
4.7,3.8,18.990000000000002,38.676324848127834,0.0,1.5,,heuristic,q_learning,10,7
4.5,4.0,16.650000000000002,34.72660878515478,0.0,3.5,,heuristic,q_learning,10,8
5.2,2.0,7.840000000000001,43.88513134363214,0.0,6.5,,heuristic,q_learning,10,9
4.6,3.4,13.420000000000002,34.34399992402959,0.0,2.5,,heuristic,q_learning,10,10
4.7,4.4,17.389999999999997,36.41503762263104,0.0,3.5,,heuristic,q_learning,10,11
4.6,5.2,20.419999999999998,37.679141109226336,0.0,5.0,,heuristic,q_learning,10,12
4.6,3.4,11.419999999999998,35.06167999010171,0.0,3.5,,heuristic,q_learning,10,13
4.6,4.0,14.02,33.49284042183359,0.0,3.0,,heuristic,q_learning,10,14
4.0,5.6,23.0,30.074330705461534,0.0,3.0,,heuristic,q_learning,10,15
4.6,4.2,15.420000000000002,36.352801675026754,0.0,3.0,,heuristic,q_learning,10,16
4.8,2.8,9.559999999999999,39.1657440545378,0.0,2.5,,heuristic,q_learning,10,17
4.4,3.0,12.08,36.930542689047705,0.0,5.5,,heuristic,q_learning,10,18
4.4,3.6,12.88,35.358416078573484,0.0,3.0,,heuristic,q_learning,10,19
5.0,3.0,12.3,40.76209072089357,0.0,5.0,,heuristic,q_learning,10,20
5.0,5.0,23.5,43.37955184001818,0.0,5.0,,heuristic,q_learning,10,21
4.8,2.2,8.16,40.30303652049595,0.0,5.5,,heuristic,q_learning,10,22
4.5,3.2,9.45,36.10981264120032,0.0,3.5,,heuristic,q_learning,10,23
4.5,3.0,8.85,36.082764560132325,0.0,1.5,,heuristic,q_learning,10,24
5.0,3.0,12.5,43.37955184001819,0.0,4.0,,heuristic,q_learning,10,25
5.3,3.4,15.61,44.482698687292086,0.0,3.0,,heuristic,q_learning,10,26
4.6,4.2,17.220000000000006,38.368301724248894,0.0,2.0,,heuristic,q_learning,10,27
4.4,3.2,11.28,34.685445643493146,0.0,4.0,,heuristic,q_learning,10,28
5.0,6.0,26.3,40.76209072089357,0.0,4.0,,heuristic,q_learning,10,29
4.5,3.6,12.25,33.56483225723512,0.0,3.0,,heuristic,q_learning,10,30
4.2,2.8,7.74,30.66273006286454,0.0,2.0,,heuristic,q_learning,10,31
4.9,3.2,13.13,37.938903553827394,0.0,3.5,,heuristic,q_learning,10,32
5.2,3.2,13.84,47.02173367887019,0.0,4.5,,heuristic,q_learning,10,33
3.9,4.6,17.829999999999995,27.024588172056518,0.0,1.0,,heuristic,q_learning,10,34
5.4,3.0,12.379999999999999,45.836056319821424,0.0,4.0,,heuristic,q_learning,10,35
5.1,3.6,16.47,44.650089618758464,0.0,6.0,,heuristic,q_learning,10,36
4.3,2.6,7.910000000000001,33.62940733026797,0.0,2.0,,heuristic,q_learning,10,37
4.7,4.8,22.39,39.21666308399667,0.0,2.0,,heuristic,q_learning,10,38
