uncorrected_regret,corrected_regret,bar_type,seed,agent_id
0.42300914584046895,0.16993225644791135,q_learning,4,7
0.40208923101766403,0.17066256529990048,q_learning,4,8
0.3536262530905708,0.1717041586812392,q_learning,4,9
0.4494416312111471,0.45591518931795294,q_learning,5,0
0.5034120224124861,0.5050448449862932,q_learning,5,1
0.5148516128716989,0.5037058476945284,q_learning,5,2
0.2566659736448682,0.2582987962186754,q_learning,5,3
0.37907183249137466,0.3857139190608144,q_learning,5,4
0.48276217336787947,0.4791190837616216,q_learning,5,5
0.3902856961509555,0.37065610583452835,q_learning,5,6
0.31166767797647876,0.3181412360832846,q_learning,5,7
0.4966825837813817,0.5078283489585522,q_learning,5,8
0.43608160818927105,0.424726927016091,q_learning,5,9
0.4308223984284876,0.43086278596186334,q_learning,6,0
0.4748204916483166,0.4813344372884981,q_learning,6,1
0.5250110803201701,0.5137371742137414,q_learning,6,2
0.5152508291864775,0.5170925677562944,q_learning,6,3
0.5780992147144898,0.5846131603546714,q_learning,6,4
0.4507578321640318,0.4394435385242275,q_learning,6,5
0.5354735576195798,0.5324745606563981,q_learning,6,6
0.48416302103093045,0.4629006081406961,q_learning,6,7
0.42571521541009416,0.42751656644653535,q_learning,6,8
