agent_type,bar_type,seed,attendance_mean,price_mean,profit_mean,welfare_mean
heuristic,regression,96,5.701,7.3357484130228405,31.6867866735493,37.44176185623347
heuristic,regression,97,5.869,8.224173819088145,41.85433856067263,36.60734830571385
heuristic,regression,98,5.631,7.100272452723342,26.859721708423358,34.46791993920535
heuristic,regression,99,5.697,6.118583858539386,31.988324892959593,34.81529522020069
heuristic,gp,0,5.665,9.9408,53.7457,36.88817010540367
heuristic,gp,1,5.667,9.788799999999998,53.533100000000005,33.2360261004686
heuristic,gp,2,5.667,9.8384,53.72509999999999,30.522007593211768
heuristic,gp,3,6.325,8.233600000000001,55.4565,29.059975527520816
heuristic,gp,4,5.75,9.496,53.5478,34.306800296989266
heuristic,gp,5,5.78,9.8144,54.5556,40.013595728141496
heuristic,gp,6,5.798,9.864,54.76859999999999,33.97393264779566
heuristic,gp,7,5.747,9.624,54.301100000000005,34.33877306951421
heuristic,gp,8,5.778,9.860800000000001,54.585800000000006,39.93839322592467
heuristic,gp,9,5.747,9.904,54.517100000000006,40.85629267287182
heuristic,gp,10,5.835,9.414399999999999,55.1835,35.415355829357445
heuristic,gp,11,5.699,9.6624,53.2547,29.706396181912172
heuristic,gp,12,5.332,9.764800000000001,50.142799999999994,32.98243311081553
heuristic,gp,13,5.992,9.918400000000002,56.75439999999998,33.56819625604695
heuristic,gp,14,5.622,9.878400000000001,53.2726,34.41196154942773
heuristic,gp,15,5.749,9.891200000000001,54.34289999999999,39.320071628907286
heuristic,gp,16,5.6,9.9696,53.17120000000001,37.19323417840051
heuristic,gp,17,5.662,9.9216,53.6462,36.81087896385008
heuristic,gp,18,5.664,9.848,53.6752,30.51467887504965
heuristic,gp,19,5.666,9.856,53.6962,23.33199450700648
heuristic,gp,20,5.692,9.505600000000001,52.697199999999995,35.02570322868861
heuristic,gp,21,5.664,9.6448,53.718399999999995,33.85208906623334
heuristic,gp,22,5.8,9.9248,55.002399999999994,39.270758717313086
heuristic,gp,23,5.606,9.838400000000002,52.8438,33.72459278517483
heuristic,gp,24,5.664,9.608,53.0272,35.65952430704146
heuristic,gp,25,5.834,9.3952,54.8762,35.333455643543175
heuristic,gp,26,5.504,9.888,52.089600000000004,32.24491219763068
heuristic,gp,27,5.625,9.8432,52.7945,34.3903295972912
heuristic,gp,28,6.322,8.224,55.453,29.101355737730525
heuristic,gp,29,5.866,9.6464,55.292199999999994,36.529302189935315
heuristic,gp,30,5.337,9.752,50.12409999999999,33.09568410226963
heuristic,gp,31,5.75,9.785599999999999,54.6294,40.94756690028091
heuristic,gp,32,5.663,9.6368,53.0879,35.60804219111258
heuristic,gp,33,5.894,9.8656,55.7526,27.795492190957834
heuristic,gp,34,5.912,9.6176,56.1896,35.0710282304166
heuristic,gp,35,5.665,9.8928,53.600100000000005,31.736063361404657
heuristic,gp,36,5.67,9.852799999999998,53.658199999999994,23.459228811156603
heuristic,gp,37,5.749,9.763200000000001,54.5077,40.854315484311286
heuristic,gp,38,5.713,9.718399999999999,54.21129999999999,38.509934373957265
heuristic,gp,39,5.78,9.872,54.722,39.977537658220335
heuristic,gp,40,5.83,9.5488,54.576600000000006,38.102665987840915
heuristic,gp,41,5.697,9.8016,53.824099999999994,28.570500237374254
heuristic,gp,42,5.667,9.9408,53.7315,36.88823050263829
heuristic,gp,43,5.749,9.785599999999999,54.63889999999999,40.9264169104538
heuristic,gp,44,5.721,9.7568,53.911300000000004,37.65988617696613
heuristic,gp,45,5.701,9.971200000000001,54.1237,33.16160477109727
heuristic,gp,46,5.745,9.608,54.2209,34.261072591070345
heuristic,gp,47,5.337,9.7376,50.12409999999999,33.07852793516152
heuristic,gp,48,5.834,9.9696,55.38660000000001,35.4704780688751
heuristic,gp,49,5.6,9.9904,53.272000000000006,37.19096713317242
heuristic,gp,50,5.996,8.862400000000001,57.0668,32.28376245270532
heuristic,gp,51,5.504,9.782399999999999,52.1024,19.288625694077613
heuristic,gp,52,5.67,9.8224,53.552600000000005,36.8580025031331
heuristic,gp,53,5.773,9.8368,54.5837,39.91210714230203
heuristic,gp,54,5.721,9.7072,53.7561,37.60640145912617
heuristic,gp,55,5.625,9.9552,53.40090000000001,34.39030395710014
heuristic,gp,56,5.605,9.939200000000001,53.133300000000006,37.1760495258552
heuristic,gp,57,5.665,9.8176,53.5537,23.49767882212495
heuristic,gp,58,5.728,9.635200000000001,52.4528,35.30527919284043
heuristic,gp,59,5.774,9.848,54.532599999999995,39.896472461876925
heuristic,gp,60,5.834,9.9744,55.4746,36.89488870993059
heuristic,gp,61,5.798,9.8144,54.875800000000005,32.49084672979752
heuristic,gp,62,5.603,9.9856,53.280300000000004,37.18863684546357
heuristic,gp,63,5.75,9.491200000000001,53.589400000000005,34.27317051295296
heuristic,gp,64,5.748,9.6784,54.43560000000001,34.400821606069
heuristic,gp,65,5.626,9.9552,53.378600000000006,34.3867359312436
heuristic,gp,66,5.747,9.84,54.2419,40.74952877742637
heuristic,gp,67,5.671,9.4688,53.466300000000004,34.22091223492667
heuristic,gp,68,5.9,9.716800000000001,55.482800000000005,27.62662563602304
heuristic,gp,69,5.744,9.8464,54.104,40.73262703906158
heuristic,gp,70,5.667,9.6,52.969899999999996,35.64370518323136
heuristic,gp,71,5.669,9.8288,53.5093,36.982359585174045
heuristic,gp,72,5.338,9.7088,50.002599999999994,33.081364567918826
heuristic,gp,73,5.832,9.035200000000001,52.863200000000006,37.33280327143375
heuristic,gp,74,5.724,9.780800000000001,53.87800000000001,35.16949443134219
heuristic,gp,75,5.724,9.792,53.906800000000004,34.84732315779498
heuristic,gp,76,5.7,9.788799999999998,54.106,36.26046106602471
heuristic,gp,77,5.504,9.796800000000001,51.96320000000001,32.20903074320876
heuristic,gp,78,5.665,9.9504,53.780899999999995,36.89203000774773
heuristic,gp,79,5.911,9.572799999999999,56.1015,35.04962945428304
heuristic,gp,80,5.767,9.811200000000001,54.5207,33.66241665647457
heuristic,gp,81,5.799,9.662400000000002,54.7335,40.583255851188575
heuristic,gp,82,5.751,9.651200000000001,54.4343,34.33662897146273
heuristic,gp,83,5.848,9.4368,51.8744,30.078012860634065
heuristic,gp,84,5.802,9.782399999999999,54.66179999999999,35.448943496215826
heuristic,gp,85,5.626,9.897599999999999,53.35139999999999,34.407723075960554
heuristic,gp,86,5.724,9.9456,54.287600000000005,35.25198011258271
heuristic,gp,87,5.747,9.761599999999998,54.4771,40.854745319157225
heuristic,gp,88,5.837,9.843200000000001,55.0509,35.17450817828704
heuristic,gp,89,5.725,9.7936,53.905300000000004,34.819856038344426
heuristic,gp,90,5.621,9.980799999999999,53.4229,35.79131418884871
heuristic,gp,91,5.698,9.774400000000002,53.700999999999986,28.569129316977044
heuristic,gp,92,5.502,9.862399999999997,51.9582,32.21240484651251
heuristic,gp,93,5.895,9.878400000000001,55.8567,27.761809446448645
heuristic,gp,94,5.693,9.7728,53.5597,33.836588731444074
heuristic,gp,95,5.67,9.651200000000001,53.2502,26.567716773433126
heuristic,gp,96,5.7,9.785599999999999,54.1716,37.41848108278662
heuristic,gp,97,5.864,9.449600000000002,54.9976,36.57884276098499
heuristic,gp,98,5.67,9.888,53.599,36.889103535042274
heuristic,gp,99,5.701,9.976,54.2037,34.82143957105578
heuristic,q_learning,0,5.665,7.392,43.4505,36.861991548525594
heuristic,q_learning,1,5.671,6.484,35.88870000000001,31.29310767083428
heuristic,q_learning,2,5.664,4.652,15.2168,30.454625550579163
heuristic,q_learning,3,6.332,6.552,28.3484,29.10889273376271
heuristic,q_learning,4,5.798,8.026,44.4126,32.578610911431646
heuristic,q_learning,5,5.777,6.252,34.6289,39.91837478586819
heuristic,q_learning,6,5.897,5.176,33.042899999999996,27.65454249184431
heuristic,q_learning,7,5.629,8.486,48.3853,34.422345208104794
heuristic,q_learning,8,5.779,7.33,37.526300000000006,39.93669397524632
heuristic,q_learning,9,5.747,5.022,23.9159,40.83743112394964
heuristic,q_learning,10,5.505,6.27,35.0685,30.858847315720652
heuristic,q_learning,11,5.816,5.118,27.205199999999998,34.07196261380192
heuristic,q_learning,12,5.34,6.586,38.91,33.10446842703906
heuristic,q_learning,13,5.498,4.782,25.1206,23.662420637818755
heuristic,q_learning,14,5.625,6.36,27.9305,34.536119568025896
heuristic,q_learning,15,5.723,6.69,34.049099999999996,37.65495512208606
heuristic,q_learning,16,5.601,5.24,31.075700000000005,37.208663963074514
heuristic,q_learning,17,5.664,6.5,25.9528,36.83014461513049
