agent_type,condition,seed,attendance_mean,price_mean,profit_mean
bayesian,price_blind,85,4.54,2.865408464069102,9.155170723687558
bayesian,price_aware,86,4.3133333333333335,2.238411077868858,6.560129644808764
bayesian,price_blind,86,4.383333333333334,2.706609436536958,8.381295772142426
bayesian,price_aware,87,4.43,2.435381916453254,7.678716486222517
bayesian,price_blind,87,4.3133333333333335,2.7602104419872524,8.276542567808557
bayesian,price_aware,88,4.463333333333333,2.407249452077178,7.494889843471821
bayesian,price_blind,88,4.453333333333333,2.854897348073473,8.971119500972458
bayesian,price_aware,89,4.3133333333333335,2.2666890639782387,6.641802707438303
bayesian,price_blind,89,4.25,2.851589204209924,8.446885399914768
bayesian,price_aware,90,4.47,2.269498848624258,6.820384585011028
bayesian,price_blind,90,4.37,2.6823765746484836,8.089421622605915
bayesian,price_aware,91,4.3,2.2509106672975085,6.510739374039352
bayesian,price_blind,91,4.1033333333333335,2.682837414464784,7.292515494545096
bayesian,price_aware,92,4.316666666666666,2.536274289263609,7.477074438669427
bayesian,price_blind,92,4.523333333333333,2.971869236510087,9.942572054581214
bayesian,price_aware,93,2.9233333333333333,8.033180797179067,15.933156034590887
bayesian,price_blind,93,4.3566666666666665,2.7060837322088065,8.220891577745322
bayesian,price_aware,94,4.263333333333334,2.3797937462881293,6.884901158232701
bayesian,price_blind,94,4.26,2.8878433477893677,8.604147776502657
bayesian,price_aware,95,4.34,2.3684578637314773,6.638228873495484
bayesian,price_blind,95,4.273333333333333,2.8163482661509396,8.159361699973255
bayesian,price_aware,96,4.19,2.23112,6.208786666666667
bayesian,price_blind,96,4.27,2.7036819981245586,7.814176532120809
bayesian,price_aware,97,4.24,2.3654968164107206,6.8592777558035385
bayesian,price_blind,97,4.423333333333333,2.843542345098757,8.951042970690718
bayesian,price_aware,98,4.526666666666666,2.490709622391622,7.6013173632278574
bayesian,price_blind,98,4.383333333333334,2.695273195160678,8.406600342396011
bayesian,price_aware,99,4.19,2.2106026666666665,6.165794666666667
bayesian,price_blind,99,4.363333333333333,2.6683356168259986,7.7877616380803705
q_learning,price_aware,0,5.38,2.479707629905058,9.534823300912608
q_learning,price_blind,0,4.456666666666667,2.679014641998091,7.730314742611163
q_learning,price_aware,1,3.796666666666667,3.22733841031285,7.3681862640664155
q_learning,price_blind,1,4.21,2.6709109196563143,7.286397388930615
q_learning,price_aware,2,5.706666666666667,2.583410235931042,10.636717834597034
q_learning,price_blind,2,4.44,2.5888537871984365,7.30953281688439
q_learning,price_aware,3,5.15,2.5612781347022358,8.747143198322123
q_learning,price_blind,3,4.59,2.693119317103384,7.919103531184798
q_learning,price_aware,4,5.343333333333334,2.4652322989849544,9.043824251417675
q_learning,price_blind,4,5.113333333333333,2.6397081586279536,8.692122277866629
q_learning,price_aware,5,5.753333333333333,2.526096523852891,10.986683499413196
q_learning,price_blind,5,5.193333333333333,2.8714416156056743,10.691821193647513
q_learning,price_aware,6,4.8966666666666665,3.0944920312873925,9.17063210765045
q_learning,price_blind,6,4.136666666666667,2.573412698814212,6.844026521726487
q_learning,price_aware,7,2.473333333333333,5.965017378627081,7.519903892011768
q_learning,price_blind,7,4.516666666666667,2.704125382001216,7.851833666383312
q_learning,price_aware,8,4.753333333333333,2.3435157930856074,7.638065432937767
q_learning,price_blind,8,4.263333333333334,2.5776546278857038,6.954128656484695
q_learning,price_aware,9,1.65,7.043189125576519,6.426703642348002
q_learning,price_blind,9,4.546666666666667,2.512550241257,7.47167376520768
q_learning,price_aware,10,5.653333333333333,2.678071147633729,11.352376644802264
q_learning,price_blind,10,4.633333333333334,2.614741658592124,7.985618315140272
q_learning,price_aware,11,3.61,3.713180235782056,7.007513550834276
q_learning,price_blind,11,4.1466666666666665,2.5667939143237546,6.857286261009691
q_learning,price_aware,12,5.676666666666667,2.5475031573223963,10.56584509374556
q_learning,price_blind,12,4.553333333333334,2.6624836305512645,7.9467250343944045
q_learning,price_aware,13,0.8333333333333334,9.835896871250835,7.000239593600871
q_learning,price_blind,13,5.116666666666666,2.5946931677425056,8.640674565002994
q_learning,price_aware,14,0.74,9.9466761102741,6.135885864966809
q_learning,price_blind,14,5.026666666666666,2.884035031168897,10.154351704973863
q_learning,price_aware,15,4.71,2.5581387846514003,8.216612446118301
q_learning,price_blind,15,4.763333333333334,2.611536902408027,7.97514808226287
q_learning,price_aware,16,0.7733333333333333,9.961487652567524,6.464729845334047
q_learning,price_blind,16,5.046666666666667,3.0983392819383138,11.354011096421392
q_learning,price_aware,17,0.87,9.438576089805347,6.714324440596764
q_learning,price_blind,17,4.91,2.6236325556556968,8.375080382020952
q_learning,price_aware,18,5.5633333333333335,2.422525447016402,9.806880058263072
q_learning,price_blind,18,4.98,2.6336481915647907,8.68564624466777
q_learning,price_aware,19,4.996666666666667,2.8380896470081702,8.819279117239534
q_learning,price_blind,19,5.04,2.9380841826341557,10.297520782276887
q_learning,price_aware,20,5.256666666666667,2.343430536842357,8.643584981270097
q_learning,price_blind,20,5.013333333333334,2.863077403344106,10.092132670993095
q_learning,price_aware,21,5.74,2.4325743458726774,10.329443292347936
q_learning,price_blind,21,5.023333333333333,2.6534597568127922,8.6944012918646
q_learning,price_aware,22,5.166666666666667,2.409286287834716,8.637621947416786
q_learning,price_blind,22,4.266666666666667,2.673148958261713,7.330514007370992
q_learning,price_aware,23,0.85,9.046225185185186,5.970958518518518
q_learning,price_blind,23,5.066666666666666,2.5840693896372637,8.60738473255889
q_learning,price_aware,24,5.533333333333333,2.3874300810357236,9.500078112924013
q_learning,price_blind,24,4.3966666666666665,2.6555881413826965,7.500108928557217
q_learning,price_aware,25,0.8433333333333334,9.443661055090303,6.526048926182833
q_learning,price_blind,25,4.823333333333333,2.6038915589493166,8.214267504929488
q_learning,price_aware,26,4.286666666666667,3.180114238806544,7.999388940546278
q_learning,price_blind,26,4.52,2.640028927509452,7.62968840319421
q_learning,price_aware,27,5.29,2.7067547242261423,9.138342767546023
q_learning,price_blind,27,4.376666666666667,2.6304837423619034,7.372917010621478
q_learning,price_aware,28,3.52,4.519945862405662,7.984750117643373
q_learning,price_blind,28,4.79,2.584647243584767,7.9940424365965255
q_learning,price_aware,29,0.8133333333333334,9.97262927671316,6.872921117680862
